Entid,T4_Payroll,PD7_AvgEmp_12,PD7_AvgEmp_NonZero,total_assets,total_liabilities,total_shareholder_equity,total_current_assets,total_tangible_assets,tot_acum_amort_tangible_assets,total_intangible_assets,tot_acum_amort_intang_assets,total_current_liabilities,land,buildings,machinery_and_equipment,total_revenue,total_expenses,farm_total_revenue,farm_total_expenses,farm_net_income,total_cost_of_sales,gross_profits,net_income_befor_taxextraitems,sales_goods_and_services,net_income_after_taxextraitems,opening_inventory,closing_inventory,total_operating_expenses,amortization_tangible_assets,amortization_intangible_assets,SRED_Expenditures,SRED_ITC_Earned,SRED_ITC_Current_at_35Percent,SRED_ITC_Capital_at_35Percent,SRED_ITC_Current_at_20Percent,SRED_ITC_Capital_at_20Percent,SRED_Deducted_PartI,SRED_from_partnership,SRED_refunded,SRED_carried_back_1year,SRED_carried_back_2years,SRED_carried_back_3years,OPAddressProvince,LegalTypeCode,NonProfitCode,NAICS,EntMultiEstablishmentFlag,EntMultiLocationFlag,EntMultiProvinceFlag,EntMultiActivityFlag,FiscalStartDate,FiscalEndDate,BirthDate,BusinessStatusCode,IncorporationDate,Purchases_cost_of_materials,capital_cost_allowance,NbBN_filedT4,NbBN_filedPD7,NbBN_filedT2,CCPC
1,1483724,572,322,5456395,2211968,959171,1967030,594554,14205,189594,1547,3983764,249448,456486,152118,2538092,4144019,238589,29874,116836,166348,476048,276666,89957,363680,68348,193615,101158,238077,52744,205835,374693,380056,120587,166378,63766,374096,58920,438103,194250,111492,191995,QC,4,2,32,0,-1,0,0,2000-12-31,2001-12-31,1980-12-31,0,1980-12-31,31749,54263,6,4,7,1
2,1456384,463,333,6224033,2766692,3024197,2082175,1459217,241395,147057,108247,1313197,141791,457089,495504,296012,4395610,489985,135121,172631,52374,249361,96777,13736,107393,312272,59796,153369,474793,26254,17871,252689,185053,240350,417847,419752,444263,247546,402783,331950,147952,189402,NS,6,0,34,0,-1,0,-1,2001-12-31,2002-12-31,1981-12-31,1,1981-12-31,311658,378178,7,4,9,1
3,1036225,843,547,358559,3367744,4593093,2285519,1535199,367049,162880,239675,3292801,277738,138043,350393,5065266,4627027,205874,171149,137979,440409,115154,296853,435286,222496,266506,34268,95028,347646,246058,408403,82529,186483,169756,365034,442377,458881,456405,199540,65088,94407,245200,AB,5,0,65,-1,-1,-1,0,2002-12-31,2003-12-31,1982-12-31,2,1982-12-31,93853,495263,8,8,2,0
4,1757276,707,969,4483491,1252692,1906198,303102,4499045,158262,251546,343065,1250584,128920,18283,227420,4491168,4617946,234572,358760,197122,164251,383780,479183,222297,328111,340712,357892,243259,51784,89902,161151,83298,47734,140578,144881,241205,413158,208639,471159,255181,396635,405710,SK,9,0,53,0,-1,-1,0,2003-12-31,2004-12-31,1983-12-31,4,1983-12-31,368365,408705,9,5,5,1
5,4542104,353,162,2230164,3680603,2059064,215894,1417984,101130,152572,4901,3200194,316901,356584,16674,3415540,4278901,121782,309829,202399,447855,42729,428410,236477,63994,136912,457579,213224,206730,314365,110469,268076,353455,41713,321137,197310,138380,127862,451691,166747,232749,26402,QC,3,0,35,-1,0,0,-1,2004-12-31,2005-12-31,1984-12-31,0,1984-12-31,96305,182584,7,8,1,1
6,3217184,18,918,6640737,1254660,3420202,3713220,1816608,361322,40245,360710,2858717,292643,151210,79817,1234259,4900497,495680,257660,497179,22094,333417,23299,406961,225072,121493,386492,245842,235889,301757,110116,25494,495133,383095,214257,484352,454974,278285,461724,367345,158370,401031,BC,9,0,81,0,0,-1,0,2005-12-31,2006-12-31,1985-12-31,3,1985-12-31,98287,248929,9,5,4,1
7,2276981,469,835,9520157,267886,1139616,848016,836095,283891,214889,37244,2826851,211123,295448,316361,5223946,2079779,12282,237068,372027,448761,470184,376262,75856,290202,265076,138333,134557,376735,465740,227337,11873,86309,121393,62513,169467,431360,415489,188847,489622,178469,372186,NL,9,2,70,-1,0,-1,-1,2006-12-31,2007-12-31,1986-12-31,4,1986-12-31,417681,108607,2,7,3,0
8,3918546,806,91,2753854,4988016,1220965,3269261,3425353,172801,40922,76115,1069136,206930,411301,492799,2959524,4741239,257820,422272,340039,272655,303521,430142,118350,370487,274263,251699,83584,200126,287128,455129,359170,340751,326003,96932,63931,165974,431094,172013,117736,303967,438996,ON,3,0,46,0,-1,-1,-1,2007-12-31,2008-12-31,1987-12-31,5,1987-12-31,442257,109527,1,3,6,1
9,1156315,821,483,146658,4288536,1068675,3009423,3293149,178841,195610,444093,3309111,343024,272224,156083,9066116,3863142,54855,173512,170464,473374,486344,319110,458678,85299,402120,309627,276241,87250,102949,126354,37045,215776,467196,282593,219594,437923,352348,6941,211081,232172,257926,BC,4,2,47,0,0,-1,0,2008-12-31,2009-12-31,1988-12-31,3,1988-12-31,245490,71512,2,9,5,0
10,4327576,937,339,5999203,2509907,1807530,1773024,85418,117374,446098,157301,2061753,406574,155626,417115,8322982,940479,339670,433492,366623,33672,318840,32631,366958,45969,379037,479320,470711,229527,297650,102827,446749,111492,355665,419342,128992,493794,382000,468998,246283,163219,495330,NT,4,1,67,-1,-1,-1,-1,2009-12-31,2010-12-31,1989-12-31,3,1989-12-31,234411,316980,6,9,7,1
